"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@nursalamjamarudin4532","false","UgwonnXx9R4yemXhR1t4AaABAg","Cara pesannya bagaimana kak?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","3 weeks ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@louisnicholas4174","false","Ugzn9AX2kM_CCmfl8HB4AaABAg","Kok aku ngak bisa ngescan langitnya?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","1 month ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@ERISINFO","false","UgxYSHvf88F3MJrgVr14AaABAg","Harga berapa yah","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","1 month ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@johanhutagaol6186","false","UgzI3AOVhvgIwHxz_g94AaABAg","Ini ditarok di dalam rumah atau di atas genteng bang?, terus kalau kena Hujan gimana?, petir juga jadi lawan kalau di tarok di atas rumah kan?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","1 month ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@ITKOMP","false","UgwTQOn6GCDsQLhn2E94AaABAg","mantap infonya #xky   maju terus","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","1 month ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@riyanfadhol8937","false","UgwYRigzOgTDTswPtuJ4AaABAg","Mas bisa gak sih pakek wifi pemancar?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","1 month ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@alvianchoiriapriliansyah9882","false","UgxP2bx_3SdmF0-YFkN4AaABAg","Ujug-ujugnya toh siapa juga yang luncurin satelit Kacific & salah satu satelit Telkom (4), Satria-1, dan Nusantara Satu?

Betul, jawabannya adalah SpaceX Falcon 9 wkwk","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","1 month ago (edited)","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@garudaup","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IbEBYxiI0","😍 ;😍","4843","true","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","11"
"@pojoklawang5599","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IbgXd5pYn","Mas...nak dalam beberapa hari / minggu / bulan kedepan ada rencana mau dijual kabar2 nggeh..😔","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","21"
"@NanangMrk","true","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IcRwhFfTf","​ @pojoklawang5599 okei syap","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","22"
"@Andalankita9uys","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IclrhcNqP","Mantap ilmunya dibagi biar semua pada tahu ❤","4843","true","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","14"
"@KangItan","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Icnqw9ALw","dikirain starlink bisa buat dijadiin isp rt rw net ❤❤❤","4843","true","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","33"
"@gradienstudio2714","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IdYMJfTbN","Tetep lah pokonya RT/RW net paling canggih.. 😁😍","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","19"
"@UluhLewu","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Idxa_jedc","berapa device yang bisa terhubung jaringan mas?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","19"
"@starking2214","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Ie0qtoi4x","Bang cobain buat rt rw net selama 3 bulan, apakah terblokir 😂","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","30"
"@Rachellvi","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3If2xJEVjQ","RT RW NET pake starlink bisa aja terutama di desa terpencil intinya jgn sampe ketahuan atau di lapor ken.. untuk contoh starlink ke mikrotik ada di Chanel luar. starlink tidak langsung memblokir jika terjadi trafik berlebih.. ia akan mengurangi kecepatan.. jarang terjadi kasus pemblokiran justru yang banyak terjadi kehilangan akun karena serangan hacker... isu Nigeria di blok karena RT RW NET benar adanya cuman tidak seluruh warga Nigeria di blok hanya segelintir RT RW net disana yang di lapor kan yang akhirnya di blacklist .. justru tindakan yg dilakukan  STARLINK mengatasi hal tersebut malah menurunkan harga bulanan lebih murah lagi khusus Nigeria agar terjangkau dan merata .... gw cuman berbagi info broo.  pada akhirnya keputusan dan tanggung wajab kembali ke kita masing2 Lebih mulia memperkaya diri sendiri melalui usaha RT RW net menurutku daripada korupsi anggaran BTS","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago (edited)","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","28"
"@ARGaming-90","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IfDaqML0U","Apa iya paket residensial harus langganan 1 tahun?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","5"
"@NanangMrk","true","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IflbIY2Ec","Cobain sendiri aja saya ngga mau​ @starking2214 ","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","11"
"@NanangMrk","true","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IfnaIu3qH","​ @Rachellvi kata siapa boleh?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","4"
