"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@ot6secretnumber154","false","UgyWm5PE9pzNh2vJU6t4AaABAg","Wkwkwk... Kekurangan n kelebihan keliatan...","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@ggelit597","false","UgyOHNWhLwSVxHx5Gwx4AaABAg","Udah ada yg pernah make di dlm hutan yg memang tidak ada sinyal hp apakah masih bisa","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@rudy_allvlog","false","UgwGGm8u2ERgNAXQrvJ4AaABAg","Kirain modalnya alatnya aja, harus bayar lagi ya?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@AndhyJoy","false","UgynSlc9BIZl74Neq0N4AaABAg","Apakah bisa power nya pake aki","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@syamsulmuarif1144","false","UgyWMHLMtjAvukroH354AaABAg","Bang, itu bener kah yg dirumah 100 Mbps harga 1 jt?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@mazwijie","false","UgxV1Xm6mKgnrbkWaJR4AaABAg","kalo lagi hujan lebat, rawan kena petir gak bang kalo di letakin di atap rumah ?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@lamboklambok3653","false","Ugxo8v9tWEgODQCdNCx4AaABAg","Bayarnya bahai mana,?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@Hafizhchanel-bb2st","false","UgydSI3frlWkFHe0o554AaABAg","Haruskah bayar perbln","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@NAOYDI","false","UgzMKthmrnAgi0Bfcap4AaABAg","Misalkan harga bulannya 700.000,itu jangkauan penyebar wifi misalkan 20 meter...bisa dibagi 4 rumah ....kan murah...betullll","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@mangayuk958","false","Ugx_nBRZt_1sR-u-MZh4AaABAg","Kali hujan gimana?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@barryarganeza1436","false","UgypVF1ec4qCBUb_Y2N4AaABAg","belinyayangmurahbuatedukasidikampungsaya","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@carlorossi2788","false","UgwlP5DMW9k5MM_ggs94AaABAg","Light pollution!","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@mamet_crues665","false","UgyOKYvi9iwCDdr9Bbd4AaABAg","Itu bulananya berapa bang, KLO pake starlink","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","1",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@duniamancing_dm_3844","false","UgywnflQWqzwglgYHal4AaABAg","Bisa buat 10 orang gk ya","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@Doniwanci-o7b","false","UgzbrZLilZSxH1x9HJZ4AaABAg","Bang gimana caranya pasang wfi starling tanpa ruter.?? Tolong solisinya","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@MmahAndri","false","UgyoJuErOhU_vMmcuSx4AaABAg","klo David yang bikin konten nya serasa saya lagi dengerin lagu sambil minum kopi bikin betah enak gaya bicaranya mudah di mengerti juga top bang David semangat trus sehat sllu panjang jodoh🎉🙏","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@G.Gurkha","false","Ugwdox7Wixj6uWmU5nZ4AaABAg","Mungkin Yg protes sama starlink adalah orang2 bayaran oleh perusahaan2 yang merasa terancam  karna selama ini jual kuota super mahal tapi sinyal jelek 😂","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","3 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@endangsrilestari5464","false","UgzP_yB6-zkAdW37w5B4AaABAg","MANTEP BUAT TEST SENTER SUPER TERANG .","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","3 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@desrylputra1832","false","Ugw17sb1uQcd6j0hpwJ4AaABAg","Sinyalnya jelek dan tdk stabil 👎","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","3 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
